CLASS,"Industrial, Major Park Area, Residential, Residual Sub Area"
CLASS_CODE,"1 = Residential, 2 = Industrial, 3 = Major Park, 4 = Residual Sub Area"
COMM_CODE,A three character code assigned to the Community District
NAME,Full Name of the Community District as approved by City Council
SECTOR,"Planning Sector Polygon the Community is Located in: Centre, East, West, North, Northeast, Northwest, South, Southeast, Southwest"
SRG,"Reflects the yearly development capacity or housing supply as outlined in the Suburban Residential Growth document, the valid values are: BUILT-OUT, DEVELOPING, NON RESIDENTIAL, and N/A"
COMM_STRUC,"Used to identify life-cycle patterns and to develop the demographic model of Calgary. Where a decade is listed at least 51% of a community's peak population must be in place by the end of the decade it is assigned to. Valid values are: 19502, 1960s/1970s, 1970s/1980s, 1980s/1990s, 1990s/2000s, 2000s, Building Out, Centre City, Employment, Inner City, Other, Undeveloped"
CNSS_YR,Year census data was gathered
FOIP_IND,Indicates results subject to Freedom of Information and Protection of Privacy Legislation. Freedom of Information and Protection of Privacy rules are applied to the data to ensure that no individual can be identified in any of the data released.
RES_CNT,Number of residents in the ward or community
DWELL_CNT,Number of dwellings in the ward or community
PRSCH_CHLD,Number of preschool children in the ward or community
ELECT_CNT,Number of enumerated voters in the ward or community.
EMPLYD_CNT,"Employed persons include those 15 years of age and older who are employed full or part time. This includes those who are self employed, employed by others and persons who may not be working temporarily due to health, vacation, weather, labour disputes or other personal reasons such as bereavement."
OWNSHP_CNT,Number of homeowners
DOG_CNT,Number of dogs
CAT_CNT,Number of cats
SING_FAMLY,Number of single family dwellings
DUPLEX,Number of duplexes
MULTI_PLEX,Number of structures designed and built to contain at least three or more dwelling units on one or two levels.
APARTMENT,Number of structures designed and built to contain at least three or more dwelling units on three or more levels.
TOWN_HOUSE,A structure originally designed and built to contain three or more attached or semi-detached dwelling units.
MANUF_HOME,"A structure originally built to be movable, whethere it is now movable or on a permanent foundataion. Also referred to as a manufactured home."
CONV_STRUC,The additional dwelling unit in a structure that contains more units than the building was originally designed and built to contain. Also referred to as a converted structure.
COMUNL_HSE,"A structure that contains one dwelling unit, in which multiple individuals, are accommodated, who have separate sleeping facilities but share common cooking and/or bathroom facilities. Also referred to as a communal house."
RES_COMM,A structure that is primarily commercial but which also contains one or two dwelling units.
OTHER_RES,Any residential structure that contains a dwelling unit but does not fit the other structure types listed.
NURSING_HM,"A structure originally designed to contain one or more dwelling units with is designated as a nursing home, auxiliary hospital, care centre, etc."
OTHER_INST,"A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, i.e hospice, jail, etc."
HOTEL_CNT,A structure that provides lodging.
OTHER_MISC,A structure that does not fit any of the other categories.
APT_NO_RES,Number of  apartment units that are used for non-residential purposes in the ward or community
APT_OCCPD,Number of  apartment units that are occupied in the ward or community
APT_OWNED,Number of  apartment units that are owned by the resident in the ward or community
